day 0,19-Sep,,This sheet takes compound specific OP50 lysis into account,,,,,,,,OD600 measured,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,,,,,,,,,,white OD600,,,,,,,,,,,,,
,,,,,,,,,,X0,9/20,9/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red fluorescence,,,,,,,,,,,,,
plate,col,row,date,set,strain,Drug,conc,add,well,X0,1,4,4,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,,,,,,,,,,,,,,,,,,,,,,
2,8,G,92313,15,RB884,water,0,9/20/2013,G8,3,0.896,0.8451,0.007711111,,-0.001922222,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,8,H,92313,15,RB884,water,0,9/20/2013,H8,6,0.93,0.8693,0.005488889,,0.8693,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,9,A,92313,15,RB884,water,0,9/20/2013,A9,5,0.9024,0.8442,0.006086667,,-0.001333333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,9,B,92313,15,RB884,water,0,9/20/2013,B9,12,0.9031,0.8107,0.005386111,,0.067558333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,9,C,92313,15,RB884,water,0,9/20/2013,C9,9,0.8744,0.7974,0.00547037,,0.0886,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,9,D,92313,15,RB884,water,0,9/20/2013,D9,8,0.9031,0.8268,0.006066667,,0.10335,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,9,E,92313,15,RB884,water,0,9/20/2013,E9,3,0.8968,0.851,0.006011111,,0.283666667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,9,F,92313,15,RB884,water,0,9/20/2013,F9,7,0.8859,0.8168,0.005904762,,0.116685714,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,9,G,92313,15,RB884,water,0,9/20/2013,G9,8,0.8862,0.8084,0.006254167,,0.10105,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,9,H,92313,15,RB884,water,0,9/20/2013,H9,8,0.9127,0.8324,0.006566667,,0.8324,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,10,A,92313,15,RB884,Mianserin,50,9/20/2013,A10,8,0.8956,0.8033,0.007008333,,-0.00365,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,10,B,92313,15,RB884,Mianserin,50,9/20/2013,B10,7,0.9092,0.8319,0.005866667,,-8.57143E-05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,10,C,92313,15,RB884,Mianserin,50,9/20/2013,C10,8,0.8732,0.784,0.006620833,,-0.0060625,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,10,D,92313,15,RB884,Mianserin,50,9/20/2013,D10,8,0.9063,0.809,0.007633333,,-0.0029375,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,10,E,92313,15,RB884,Mianserin,50,9/20/2013,E10,4,0.8923,0.8291,0.006741667,,-0.00085,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,10,F,92313,15,RB884,Mianserin,50,9/20/2013,F10,3,0.8829,0.8256,0.007022222,,-0.0023,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,10,G,92313,15,RB884,Mianserin,50,9/20/2013,G10,4,0.8839,0.8244,0.005816667,,-0.002025,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,10,H,92313,15,RB884,Mianserin,50,9/20/2013,H10,5,0.9144,0.8419,0.007253333,,0.8419,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,11,A,92313,15,RB884,Mianserin,50,9/20/2013,A11,6,0.8892,0.8114,0.006927778,,-0.003516667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,11,B,92313,15,RB884,Mianserin,50,9/20/2013,B11,5,0.9006,0.835,0.005873333,,0.0005,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,11,C,92313,15,RB884,Mianserin,50,9/20/2013,C11,5,0.867,0.7969,0.006773333,,-0.00712,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,11,D,92313,15,RB884,Mianserin,50,9/20/2013,D11,6,0.8985,0.82,0.007044444,,-0.002083333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,11,E,92313,15,RB884,Mianserin,50,9/20/2013,E11,8,0.8723,0.7776,0.007308333,,-0.0068625,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,11,F,92313,15,RB884,Mianserin,50,9/20/2013,F11,5,0.8741,0.7983,0.007913333,,-0.00684,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,11,G,92313,15,RB884,Mianserin,50,9/20/2013,G11,7,0.869,0.782,0.007252381,,-0.007214286,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,11,H,92313,15,RB884,Mianserin,50,9/20/2013,H11,6,0.8979,0.8225,0.006527778,,0.8225,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,12,A,92313,15,RB884,Mianserin,50,9/20/2013,A12,10,0.8842,0.7843,0.006366667,,-0.00482,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,12,B,92313,15,RB884,Mianserin,50,9/20/2013,B12,6,0.8951,0.8107,0.008027778,,-0.003633333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,12,C,92313,15,RB884,Mianserin,50,9/20/2013,C12,3,0.8692,0.8133,0.006555556,,-0.0064,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,12,D,92313,15,RB884,Mianserin,50,9/20/2013,D12,7,0.8965,0.816,0.00632381,,-0.002357143,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,12,E,92313,15,RB884,Mianserin,50,9/20/2013,E12,5,0.8781,0.8054,0.007293333,,-0.00542,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,12,F,92313,15,RB884,Mianserin,50,9/20/2013,F12,5,0.8815,0.8086,0.007333333,,-0.00478,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,12,G,92313,15,RB884,Mianserin,50,9/20/2013,G12,5,0.8634,0.7932,0.006793333,,-0.00786,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,12,H,92313,15,RB884,Mianserin,50,9/20/2013,H12,5,0.9013,0.8331,0.006393333,,0.8331,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,day ,N0,1,4,4,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,,,,,,,,,,,,,,,,,,,,,,,
,,,,analysis by column dOD600 ,RB2105,water,0,,1,38,0.914685714,0.855328571,0.005972381,#DIV/0!,-0.00799131,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,RB2105,water,0,,2,35,0.901271429,0.847657143,0.004970257,#DIV/0!,-0.007433556,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
